time,open,high,low,close,Volume,Futures Open Interest,Crypto Open Interest (열기),Crypto Open Interest (고가,Crypto Open Interest (저가),Crypto Open Interest (닫기),Funding Rate
1762497900,102038,102043.9,101763.6,101778.7,574.344,,82380.895,82380.895,82320.401,82320.401,0.003874
1762498800,101778.6,101949.5,101760.6,101807,639.749,,82317.811,82317.811,82246.845,82246.845,0.004223
1762499700,101807,101977,101632.4,101798,915.537,,82246.513,82300.197,82238.465,82238.465,0.00447
1762500600,101798,101824.8,101586.6,101768.1,788.652,,82234.133,82234.133,82102.473,82102.473,0.004367
1762501500,101768.1,101981.9,101760.3,101978.8,785.071,,82102.032,82105.042,82045.767,82058.089,0.004196
1762502400,101978.2,102024.7,101816.7,101895.2,599.311,,82062.008,82081.477,82056.076,82062.943,0.004296
1762503300,101895.3,101930.1,101650.1,101755,638.645,,82062.688,82075.958,82037.015,82045.411,0.004324
1762504200,101754.9,101764.9,101458.1,101578.7,1015.62,,82043.528,82123.133,82036.523,82117.623,0.004027
1762505100,101578.7,101578.7,101388,101461.8,706.924,,82127.578,82138.717,82101.131,82116.968,0.004011
1762506000,101461.8,101480,101167.9,101325,1314.536,,82126.301,82217.697,82120.572,82167.622,0.004067
1762506900,101325,101452.1,100922,100972.6,1620.017,,82168.931,82189.086,82135.239,82155.773,0.0041789999999999996
1762507800,100972.6,101108.5,100801.2,100904.1,1863.237,,82157.965,82274.239,82157.965,82241.685,0.00438
1762508700,100904.1,100999.3,100700.8,100968.1,2253.948,,82237.746,82351.836,81964.745,82345.121,0.004588
1762509600,100968.1,101213.3,100908.4,100924.5,1238.227,,82344.972,82471.851,82333.667,82471.851,0.004818
1762510500,100924.5,100934.9,100592,100617.1,1735.093,,82472.265,82566.183,82446.671,82554.607,0.005015
1762511400,100617.1,100922.7,100568,100900.1,887.041,,82554.582,82635.944,82554.582,82622.853,0.005417
1762512300,100900.1,100900.1,100516.2,100725.3,690.764,,82611.595,82661.941,82611.595,82651.943,0.005541
1762513200,100725.4,100751,100035.1,100044.1,3246.225,,82652.873,82795.742,82622.328,82767.203,0.005453
1762514100,100044.1,100278.2,99750,99885,7620.982,,82898.701,84244.179,82804.217,84145.367,0.005514
1762515000,99885,100256.2,99827,100122.6,3181.335,,84144.778,84636.127,84144.778,84520.356,0.006236
1762515900,100122.6,100585.9,100058.1,100369.1,2227.767,,84528.613,84584.27,84413.98,84444.027,0.006951000000000001
1762516800,100369.2,100593.2,100245.2,100252.4,2234.073,,84444.543,84445.624,84267.091,84315.593,0.007453
1762517700,100252.4,100295,99820,99896.1,1523.225,,84322.072,84398.809,84320.289,84398.809,0.00766
1762518600,99896.2,99896.2,99601.8,99760.1,2771.89,,84400.194,84738.889,84337.627,84738.889,0.008085
1762519500,99760,99760.1,99200,99608.9,4877.517,,84708.011,84873.465,84551.544,84873.465,0.008559
1762520400,99608.9,100282.3,99425.4,100006,3211.114,,84885.007,85261.036,84885.007,84999.583,0.00928
1762521300,100005.9,100500,99864.3,100107.2,3064.584,,85019.6,85164.879,84931.776,85051.357,0.00961
1762522200,100107.5,100348.9,100040.5,100159,1668.026,,85034.836,85236.587,85032.376,85233.148,0.009611999999999999
1762523100,100159,100537.5,100138.7,100295.1,1731.547,,85252.892,85424.148,85252.892,85424.148,0.009313
1762524000,100295,100499.9,99972.2,100302.1,1855.81,,85425.13,85553.925,85386.65,85528.834,0.008994
1762524900,100302.1,100323.3,100000.1,100247.4,1375.386,,85531.115,85666.115,85491.537,85639.639,0.008617
1762525800,100247.6,100776.4,99451.1,100771.3,6304.39,,85639.402,85862.374,85580.373,85778.396,0.008232
1762526700,100776.3,100924.4,100283,100753.6,4772.463,,85760.525,85849.74,85716.424,85833.614,0.008212
1762527600,100753.7,101167.6,100319.4,101119.1,4838.952,,85844.023,86334.266,85844.023,86235.845,0.008423
1762528500,101119.2,101230,100629,100978.1,3625.798,,86207.981,86871.245,86207.981,86871.245,0.008650999999999999
1762529400,100978.1,101116.1,100367,100623,1991.333,,86871.15,86903.305,86826.104,86902.698,0.008532999999999999
1762530300,100623,101100,100551.5,100758,1762.419,,86893.792,86985.76,86862.764,86985.76,0.008648999999999999
1762531200,100758,100919.4,100468.9,100521.9,1775.028,,86984.587,87038.375,86943.122,86988.52,0.008577999999999999
1762532100,100521.9,101620.1,100495.8,101492.6,3807.287,,87015.096,87237.167,86955.647,87226.849,0.009001
1762533000,101492.5,101592.4,101036.2,101370,2171.726,,87232.437,87239.733,87178.806,87239.733,0.008904
1762533900,101369.9,101430,100920.8,101128.4,1278.761,,87245.157,87284.856,87230.349,87259.596,0.008851000000000001
1762534800,101128.3,101608.9,100888.3,101592.2,1614.312,,87282.298,87288.124,87234.696,87265.826,0.008976
1762535700,101592.2,102457.2,101551.7,102299.9,5239.095,,87274.609,87388.335,87155.521,87322.944,0.00921
